mode,train_seed,eval_seed,run_id,ts2,elapsed_s,slice,in_band_clean,values_observed_clean,full_range_visited,pearson_r_clean,n_clean,first_write_offset_from_launch_approx_s
qoe,256,950,m46mr3_qoe_seed256,20260911_141739,317.1,urllc,True,"6,7",False,0.051,20890,~15-20
qoe,256,950,m46mr3_qoe_seed256,20260911_141739,317.1,embb,True,"5,6,7",False,-0.007,20890,~15-20
qoe,257,951,m46mr3_qoe_seed257,20260911_143222,317.3,urllc,False,"4,6,7",False,-0.975,25056,~15-20
qoe,257,951,m46mr3_qoe_seed257,20260911_143222,317.3,embb,False,"3,4,5,6,7",False,-0.824,25056,~15-20
sla,256,952,m46mr3_sla_seed256,20260911_144653,317.0,urllc,False,"5,7,8",False,-0.016,23801,~15-20
sla,256,952,m46mr3_sla_seed256,20260911_144653,317.0,embb,False,"4,5,6,7,8,9,10",True,0.004,23802,~15-20
sla,257,953,m46mr3_sla_seed257,20260911_150122,316.5,urllc,True,"6,7,8",True,0.265,24332,~15-20
sla,257,953,m46mr3_sla_seed257,20260911_150122,316.5,embb,False,"7,8,9,10",False,-0.282,24332,~15-20
