mode,train_seed,eval_seed,run_id,checkpoint,ts2,elapsed_s,gnb_log,urllc_in_band,embb_in_band,urllc_pearson_r0,urllc_pearson_r_lag5,embb_pearson_r0,embb_pearson_r_lag5,pwc,pwc_equal_weight,mean_c_urllc,mean_c_embb,shed_classification,shed_precision,urllc_failures_of_4
qoe,256,950,m46mr3_qoe_seed256,experiments/results/m46_mr2/offline_train/qoe/seed256/dqn/offline_closed_loop/rep_0/checkpoint.pt,20260908_014536,317.1,experiments/logs/gnb_m41_20260908_014536.log,False,False,0.399,0.395,-0.005,-0.036,0.432,0.379,0.674,0.084,indiscriminate_failure,0.0,4
qoe,257,951,m46mr3_qoe_seed257,experiments/results/m46_mr2/offline_train/qoe/seed257/dqn/offline_closed_loop/rep_0/checkpoint.pt,20260908_020008,318.3,experiments/logs/gnb_m41_20260908_020008.log,False,False,0.344,0.342,0.094,0.075,0.438,0.386,0.681,0.092,indiscriminate_failure,0.0,4
sla,256,952,m46mr3_sla_seed256,experiments/results/m46_mr2/offline_train/sla/seed256/dqn/offline_closed_loop/rep_0/checkpoint.pt,20260908_114747,317.7,experiments/logs/gnb_m41_20260908_114747.log,False,False,0.392,0.439,0.053,-0.007,0.567,0.514,0.815,0.213,correct_shed,1.0,0
sla,257,953,m46mr3_sla_seed257,experiments/results/m46_mr2/offline_train/sla/seed257/dqn/offline_closed_loop/rep_0/checkpoint.pt,20260908_120228,317.7,experiments/logs/gnb_m41_20260908_120228.log,False,False,0.177,0.172,0.194,0.151,0.706,0.643,1.000,0.286,correct_shed,1.0,0
