draw,slot_seed,arm,eval_seed,error,coupling_pass,urllc_uncapped_n,embb_uncapped_n,in_band_pass,urllc_r,embb_r,responsiveness_pass,pwc,pwc_eq,shed_classification
primary,260,dqn_sla,2002,,True,0,0,True,0.005614168690992918,0.01067507107952666,True,0.6948440855920437,0.6296122626633546,correct_shed
primary,260,lb_only,2002,,True,0,0,True,-0.7895970298690703,-0.5574832077128001,True,0.558503556097179,0.49406183207368626,correct_shed
primary,258,static_floor,2001,,True,0,0,True,-0.9823971095464663,-0.9108192985709861,True,0.44131034730942775,0.3878262400258608,indiscriminate_failure
primary,258,dqn_sla,2001,,True,0,0,True,-0.0220631111136663,-0.017084733356195425,True,0.7051920387171458,0.6420288247914547,correct_shed
primary,264,static_floor,2005,,True,0,0,True,-0.9746311095804135,-0.9109200522459352,True,0.43846891164602086,0.3853024304810286,indiscriminate_failure
primary,267,static_cap,2006,,True,0,0,True,-0.016281038762455822,-0.01997490975694919,True,0.7026791949521978,0.6389973557752877,correct_shed
primary,261,static_cap,2003,,True,0,0,True,-0.02303805255955632,-0.024755407275597312,True,0.7050118421638158,0.6418100146909826,correct_shed
primary,258,lb_only,2001,,True,0,0,True,-0.6690585239347072,-0.4899604699262557,True,0.6111028180835367,0.5404360896915946,correct_shed
primary,267,lb_only,2006,,True,0,0,True,0.0035980988292765126,-0.0009951305711197707,True,0.5566466024467633,0.4942163614068549,correct_shed
primary,258,dqn_qoe,2001,,True,0,0,True,-0.9731970626514621,-0.9088692647028886,True,0.4443282765906778,0.3904467095609506,indiscriminate_failure
primary,263,static_floor,2004,,True,0,0,True,-0.9727386108376032,-0.9051318705994081,True,0.4415117053705849,0.38803286967803824,indiscriminate_failure
primary,261,dqn_sla,2003,,True,0,0,True,-0.1739134606639175,-0.5137269836928557,True,0.7076364010383716,0.64503666157834,correct_shed
primary,263,lb_only,2004,,True,0,0,True,0.0022933937627750522,0.005598111494744957,True,0.5749686501150884,0.5100963212187575,correct_shed
primary,261,lb_only,2003,,True,0,0,True,-0.008253248712885205,-0.0028579610126895382,True,0.5365800734577806,0.4765169966952013,correct_shed
primary,260,static_cap,2002,,True,0,0,True,-0.18390407782566762,-0.5305384142651499,True,0.7054511819030347,0.6423534192949547,correct_shed
primary,264,static_cap,2005,,True,0,0,True,,,False,0.7035260835872463,0.64005548245118,correct_shed
primary,264,lb_only,2005,,True,0,0,True,0.0016171775931877901,0.022600088603079233,True,0.5757588277057795,0.5099009365191206,correct_shed
primary,258,static_cap,2001,,True,0,0,True,-0.016934916092607756,-0.015120052951550653,True,0.7029576550270255,0.6393950096756738,correct_shed
primary,263,dqn_qoe,2004,,True,0,0,True,-0.0325306863056186,-0.24062160043833442,True,0.7016646617121756,0.637785263825102,correct_shed
primary,267,dqn_qoe,2006,,True,0,0,True,-0.9750127456512317,-0.901217339104345,True,0.4201602341386706,0.3700089862382161,indiscriminate_failure
primary,261,dqn_qoe,2003,,True,0,0,True,-0.05225961181275608,0.053955726127640484,True,0.6878747948966407,0.625673362057032,correct_shed
primary,260,dqn_qoe,2002,,True,0,0,True,0.021009517362999355,-0.008602469112188442,True,0.42108510574191627,0.37124324944845044,indiscriminate_failure
primary,263,dqn_sla,2004,,True,0,0,True,-0.018144395216845792,0.052497248560130785,True,0.7015611053121661,0.6376892786727095,correct_shed
primary,261,static_floor,2003,,True,0,0,True,-0.9737461251530217,-0.9082432718754426,True,0.44592543336833423,0.3915776042765164,indiscriminate_failure
primary,264,dqn_qoe,2005,,True,0,0,True,-0.9083758137527218,-0.2613577173252081,True,0.4895989702909864,0.45789932623870994,indiscriminate_failure
primary,267,dqn_sla,2006,,True,0,0,True,-0.18793543050625533,-0.4898385263214169,True,0.7068391760815201,0.6440289201624808,correct_shed
primary,260,static_floor,2002,,True,0,0,True,-0.9746748414794872,-0.9110968032874981,True,0.4149924389305237,0.3654279271078193,indiscriminate_failure
primary,264,dqn_sla,2005,,True,0,0,True,-0.019683256774828593,0.060334522149163856,True,0.6989428961916067,0.6344802628358398,correct_shed
primary,263,static_cap,2004,,True,0,0,True,-0.02961162580055269,-0.02683628400409129,True,0.7019788555733368,0.6381767055771472,correct_shed
primary,267,static_floor,2006,,True,0,0,True,-0.9640470820624921,-0.8798559848644024,True,0.4352002443054499,0.3825123457682543,indiscriminate_failure
