mode,train_seed,eval_seed,run_id,checkpoint,ts2,elapsed_s,gnb_log,e2_apply_count,sched_read_count,first_write_offset_from_traffic_start_s,steady_state_pearson_r_urllc,steady_state_pearson_r_embb,classification
qoe,256,950,m46mr3_qoe_seed256,experiments/results/m46_mr2/offline_train/qoe/seed256/dqn/offline_closed_loop/rep_0/checkpoint.pt,20260911_130910,317.2,experiments/logs/gnb_m41_20260911_130910.log,104,132992,93.4,0.6622401987454601,0.5057307585932783,command_application_break
qoe,257,951,m46mr3_qoe_seed257,experiments/results/m46_mr2/offline_train/qoe/seed257/dqn/offline_closed_loop/rep_0/checkpoint.pt,20260911_132359,316.6,experiments/logs/gnb_m41_20260911_132359.log,100,130284,92.7,0.8244505936323502,0.717405698821438,command_application_break
